,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
0,MRI Technologist,Insight Global,"Cincinnati, OH 45220 (CUF area)",$45 - $55 an hour,Full-time,"This group receives on average 30 patients per day and sees a lot of brain and spine cases (mainly outpatient).
ARRT or NMTCB, BLS/CPR.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCkugsAQrRfiKpbMgfSGYRE77SuLYNqkqqjWJjmXwmj_rqGDowD0Dnx9sDq2Ts73d2Lh49wOJmSnWbwPo0kyelbYaY5lH0G9AKbVYjPRmeWDiNv_IenvXarck4OfYeluc3WiC1nsGyu9GcJV2rhhDStq8zvtAHAeLdDxtWJP9R0hZW7GxJTwfb2wBcmwFkxUv8ZuxXJl0TdnJHnzLs_XVjGJ7cbAKkpiVk4o12R_jfBh2YdOdvq8lvfqe8LG7uvA2OaX7wQcZf7N9iZgaYPQ2STmzbua5FCe1VmT4OIzdta6LAmGpQ18mH-Fdq0ANfb9TgROO1y5QbIvnRLncHzCpZUNrGtgcawLLDsb9LXPvozbEAg7gL-zCR5W4OdTKwM_Gnv0HtuTR1ScocuJ5ltO7BXocbRSVyMjEXyn9HK8WplHfE_o9kXV5OaYrTlMbZwdvVV-I8eETqD-q1gbNWb2O7xU9KpYLrd6g7-Wp6R1-q0Wz0uTc9wYTFGYew1g3VvdYcbpEExMMRZVaakJnY1e80FOUHzU8KqOYU6vcClrVt3A21Eri_W9Xg-SzRQGRm6o3MQ-aNQKrW-AIUwv8p0PEXBpH4XVrVtXNg-M9HvjVfcrn4NDbBc-rG9XzK7oCooEq21ub8zThSfdYG99YjChTxhg=&xkcb=SoDy6_M3-F9j-twd6J0LbzkdCdPP&camk=f416UQcMBpCq--nAFOCpnw==&p=0&fvj=1&vjs=3
1,"Senior Principal or Principal Director, Legal and CLM Reinvention",Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Individuals in this role will have prior experience with:
Legal and/or CLM operating model assessment, design and transformation execution.",https://www.indeed.com/rc/clk?jk=29976bc9bd3c90e6&bb=e8Q5frUS3DshHb1VfNa37eOp1o8SCUoDL_9l-mljKZL6ElAtqF3B4dFxTunGKWE3P4P66O_sNoiGxzcqxNOIKu_z3ljGqTLbWMIJWoUXusMuBMBgFxc8hw%3D%3D&xkcb=SoCy67M3-F9j-twd6J0KbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
2,Robotics Implementation Project Manager,Photoneo,"Hybrid work in Hebron, KY 41048","From $90,000 a year",Full-time,"Operations/Workflow - Dive deep into the customers existing operation and workflows, embed yourself in their team and use a combination of technicalâ€¦",https://www.indeed.com/rc/clk?jk=2729c23d1fd7dbdc&bb=e8Q5frUS3DshHb1VfNa37duOZ-nX1ZjLefomnkXJAgNcmSHWduD2CUcn7Yqo-GUyXPpV02Bkv8t5ri8duzKVTpggm7xcHJX8rwIvNtKDV_oO-D8rsjo5UzUGI5owfxMn&xkcb=SoAv67M3-F9j-twd6J0JbzkdCdPP&fccid=ada34303f2e8d4f3&cmp=BrightPick-by-Photoneo&ti=Implementation+Specialist&vjs=3
3,Senior Cloud Engineer (P4172),84.51Â°,"Hybrid work in Cincinnati, OH 45202",Not Provided,Not Provided,"84.51Â° is a retail data science, insights and media company.
Powered by cutting-edge science, we utilize first-party retail data from more than 62 million U.S.â€¦",https://www.indeed.com/rc/clk?jk=d3140e28f6462d08&bb=e8Q5frUS3DshHb1VfNa37aKPiPxty1fEMT6PEOfut2XXkeeLUhN10hHBvhJ5sCwqK5VcRz3xj_IiCeSkdBriEZZZlU2FbbjBd9PkHV_0rKcpOS2ZOyw23GatKjjLT6Mc&xkcb=SoCb67M3-F9j-twd6J0IbzkdCdPP&fccid=d1ae41cea4bc9f6e&vjs=3
4,Physician - Infectious Disease,The Christ Hospital Health Network,"Cincinnati, OH 45219 (Mt. Auburn area)",Not Provided,Full-time,"Six infectious diseases physician + one infectious diseases NP practice.
Hospital based practice at one facility / one hospital campus - no travel or commutingâ€¦",https://www.indeed.com/rc/clk?jk=6385c399907ef8a0&bb=e8Q5frUS3DshHb1VfNa37QrWdj7PMyaNDoMAG64N30TWm-aur95-I8YfjeKoZbfH7HgrATCwLWfKUCvQDZHGQpmE6CwLqizl10ntqQnxo8EPDp-kKt3T3NtF3QblfTSA&xkcb=SoAV67M3-F9j-twd6J0PbzkdCdPP&fccid=c5976ee7f33e652f&vjs=3
5,US AWS Alliances Leader - Director,PRICE WATERHOUSE COOPERS,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,"Support team to disrupt, improve and evolve ways of working when necessary.
Arrange and sponsor appropriate assignments and experiences to help people realiseâ€¦",https://www.indeed.com/rc/clk?jk=a9ad69916106633d&bb=e8Q5frUS3DshHb1VfNa37R1RkLNUn3uCjIVa-RmGf2b5dRWn8OOBapwdQX2rcHLbvAZm3FSPnnh1q65j3b_1xPP_3Gscg3l8bUxfpmGogQF3HV4MsI9TPSQaJy8ielVN&xkcb=SoCh67M3-F9j-twd6J0ObzkdCdPP&fccid=5e964c4afc56b180&vjs=3
6,Sales Practitioner - Operations - Industry X,Accenture,"Remote in Cincinnati, OH 45202",Not Provided,Full-time,"Responsible for managing Accentures go-to-market for Industry X within specific industry segments, working closely with account teams and business servicesâ€¦",https://www.indeed.com/rc/clk?jk=1a22694f1c9a051d&bb=e8Q5frUS3DshHb1VfNa37WR_MF896xKvC80Qi4_BtaDS6UkLFMWoeyQJVCeWk_Uuu0MDOOPxNrV0yFpNa8ZiVqzU4wZSh04_JolyZnQLVubnAxnw8-TWpg%3D%3D&xkcb=SoA867M3-F9j-twd6J0NbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
7,"Management Consulting Manager, Legal and CLM Reinvention",Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Individuals in this role will have Prior experince with:
Legal and/or CLM operating model assessment, design and transformation execution.
Travel is 0 to 100%.",https://www.indeed.com/rc/clk?jk=db6467d88a620860&bb=e8Q5frUS3DshHb1VfNa37egH9aIc8BEik5db_SgZ3-YwUOWmlEU5G2cI42gGYCa1CKhUkjjRBrldGOlMhf6hHZZYOXlJ3hi9z4093NilWA8GLKcqBgK27Q%3D%3D&xkcb=SoCI67M3-F9j-twd6J0MbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
8,Physician - Dermatologist,The Christ Hospital Health Network,"Cincinnati, OH 45227 (Madisonville area)",Not Provided,Full-time,The position will include highly competitive compensation with full benefits package.,https://www.indeed.com/rc/clk?jk=05a629d8e7faacca&bb=e8Q5frUS3DshHb1VfNa37UIfzm8IcGkU-3hd8Evn8dyVXZpYhmZIS97RTjWN80UKbhPx8WF7vAIeF_o9-T2CBD-n5d3W0lRdhgz4-2rX_9oWpWzq1JtuPEkHtAusZk9t&xkcb=SoBh67M3-F9j-twd6J0DbzkdCdPP&fccid=c5976ee7f33e652f&vjs=3
9,Financial Crimes Unit - Risk Architecture Data Scientist (Python/SQL) Senior Associate,PRICE WATERHOUSE COOPERS,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,"Use feedback and reflection to develop self awareness, personal strengths and address development areas.
Delegate to others to provide stretch opportunities,â€¦",https://www.indeed.com/rc/clk?jk=b685632181954966&bb=e8Q5frUS3DshHb1VfNa37bGIp3RdcWqulGyLZo5olph1qfDANlCNwU36De0HZMx9RRmO_lgsCwUpCW5H3tkvq3g-LIqDlEUr4-76L-zX1qri0Q3CmEBP6pr-EIUm43Pv&xkcb=SoDV67M3-F9j-twd6J0CbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
