Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"Director, Data Architecture",Insurity,Remote,"$130,000 - $170,000 a year",Not Provided,"Be an expert in one or more areas across the Data & Analytics domain including data analytics, data integration, business intelligence, artificial intelligence …",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2YNyQh3GFAwQ-dyuiZmvfa2S_250bNGRBUZFpswMPsXcMcw7j4OwuCwot0f7_3CStRURn2rH6RIsPv2n_opzri3-SW-kBZWpnuWDMFtD6yoxAjl8mCzKN-s38AUrUYnCJ3h-gLqH4HW7WPh67rIvbGbFHUkdTMjFryYThoYINQ45vKtcPOOXt78Bye0jy_KE72Y3vy5GKR2o-Rrk1S5GgzepnPKwpv8GgRWGI1tq70XZ9Q1yl81hloPN3J8l9AreviPkd8xDrVzpZgATA-qVwtG5W8ZyHByzRh6xUI4oyA_jI83dKgapWmvL1GqjcoaqQvXWpjg70ZrgBHEKdOsD3fkhLwCZc6qP7gLOKFWNuLGj-8WbCaDQIRuNoGFh50k5YWHn9hwYC9ag6Je0yAfSRxaHPZHznM5pef2qka2f3SalG_ivz6zbDlBWtfb0Kn-j4xMY4cq2DQvN0LxY2SJiuQ5zuoObYgZ5_RYvTO7LXXqGVuNDonVMUvXW188Dk3DBQSYnhYCte7GuEGPxdAXKVl-H8JgvNnE1dfgLn_KOVMzjZQHZwVNpuRUA5K7h-B3N2qk3io6GIZjVJQiQloNxewcphcvggEbXQpP5hs9blpVYWR41v0VTA-5hZ-5TgYIrCLBEM8XIXXvWTfpdk277gdP4Jz71ySQFH5uty3Bi_qYgZkXDR9spj&xkcb=SoBK6_M3-se3zPXRih0LbzkdCdPP&camk=tQsC0y0u1Lr3wSThIsfJ4w==&p=0&fvj=0&vjs=3
Jr AI Sales Representative ($50k + Commissions),JS Trading Enterprises,"Nashville, TN 37219 (Downtown area)","$50,000 - $150,000 a year",Full-time,"If you are the right fit for us, you are people-oriented and enjoy being on the phone making a high volume of outbound calls (NO COLD CALLING!).",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bx8wQPkVc-WcnJND3Vv0pextIwYHURAAFB_biT3Ek-H6KFrfNbjZPkiwsLkR1Kxn6_jZB1-BrwOKFa_mLPrpz6rGDQLhetaqGWuRp-S8hzy0ASSwIWQf22e9sg-I8MfU16G4j0yiVgZ42aY3trvmWRWj1m-ogIOLFHxu2PwK5U50D8we2dkcxNfAUmuAi1__ujUdHmXma5LJz5i4BvpC7mZSCZPMpz-bqpm4x0oE6-0hoIRFFC_rjS024yhYkzXUqCayxzraK2IMeM29JaqIc6KMoI_pT2Ca2V_rNmpDj2TTeUmWJbm0RNEtGZPoySRYdgup5LqKxNncHsROsBJvHb34Gmh898tnWiqpP3BEuYNkhYWFhZw68dIbFocHNsuXsBAHot6ncWJhryFvt1HXbEu3fW4Y9OZ9_gdKb5GRQYAMlRKEQZtoxt_R_348_bJzD-QjVzaM3YjF4__qSeArMPpFYb9e4KqqAXxyg1YmzY4Z1RpBQ6JT5XDtPFpONk28FAZX4YiNWdoX_zu-uTrWZs5pQq9zd01K5c8AbfP9S89ZLuhu66VYmTj3hK1w5MYN_o6-gsyt0viezc1ctKTsLykDi7FGI2wO5uOl_hu6w00Y5gv5NDJDb_iUe0X6Kl_l9g_G7_zoCuAG0k0TVEBUgZF6oYkf4hty_pPinz8u3Rl9QaX1f7hE3UpJYdrDgdTnM=&xkcb=SoD-6_M3-se3zPXRih0KbzkdCdPP&camk=nUmJqO2E8rgc3nICFu19WA==&p=1&fvj=1&vjs=3
"Director, Analytic Services and AI Integration",TMF Health Quality Institute,Remote,Not Provided,Full-time,"Experience launching technically complex programs, projects, or related work that include the following: big data, analytics, artificial intelligence, and…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ayfsi7bZwdEINvSTe2ayB8wzNrs9wlIq4i_fpG1GWJ4rl6ATpPY-nGDmYW7v3F8MpN17USMxm-uF5DbUSqYs1bLkBbPUuw03OsLeWJpxCgT05_gNzil6ofYMeiQHm3ZW7vDgpwFhwLgrymBOawbBSrv1tx0J_NO2pFBWnACl0Aat1oGSzxdOaew-FsVLVFLwrM9-UjMnxZC0K8U1VDHBDMnkjghzSRvSZJX_KWOm_gQKrF2NjnpxhXUDS5cA3D9ixBO8shWf2Z-2ooILJ_5lkndxcLfB1_C7fSE2L-AvtMhc69SfH-AmmhhU9hXaA4Ml0A1jHkxl-XgDYBNNbMfu7VwVatCqgD6Tnt6djfqHxvl8ZtZ-kpgzbXX8Vzv3BRX4iNH6tJcue4vPLJK_6N4795r6HF5E_i0uEoDxiqqKoqN_RankxAM_3qDoSWohv_lUlpgKo68Ui--RTm8fX6kuRXpHdamerwoCDWLyLQ8UHKptUbHG7lj6aVBNqNCb5AnY8mIxA-IdXsqNpUyz64C2yZKSANe6rb5xBWjTW692hCyeiR2A9BzlduO4obNNJFbRg2KEeJNjWJ2ddz6cJpi2DwrnRwriAmTEbs7usAD7iAt5ikClo7Y9lqfINrrkA22SWPNCHM02SAOQ==&xkcb=SoBj6_M3-se3zPXRih0JbzkdCdPP&camk=nUmJqO2E8rjeCqh1OdSp3A==&p=2&fvj=1&vjs=3
High Ticket Sales Closer - Sales Rep (Remote),Woosender Inc,Remote,"$84,000 - $150,000 a year",Full-time,"High Ticket Sales Closer - Sales Rep (Remote).
WooSender is a rapidly expanding SaaS company, co-founded by two marketing experts aiming to merge business sales…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALAoJWNfCWsiK9KMaK8O7awlCaKA_AulsykHeUQgdUEqhuG8Jz3k_zY_Uen4425UP_suDhejvGBXiFRJLKr3wIhf5NHQWkIIHOvIxSSVhyVa4OZs8I_k6gjHuBSweYR6fNkIOY6IKt6kctCErrpBUc_Gy2eSCh87VMiEFqE2qiMqaZVVsubvyOItqjgQ2VRaeBwBueDhQ3N3bSVDiDThWO7VqYSeyK-zvY_g14rylhZfBL-B8ZRAm121OA-Aw48pAfaMHyQKi4AQTJP8m7eYS3zlkEY5mYgo10Z1IpSiBSEe4R87gvR70riSfpch8HbdORSdQ-zOcXgYMQ4DcyrbDICkulzZR1VkjN6LH5hAB3EjUNOrj1RLGI4fvfaEAsmH0V9QrO1D1hUYzsHzfMQahN7q_8ljd9-eIsxi27MB5G38HXKHwvZSg3jAI0AuNPU410roNyMKAD8J7cxbC4OrstXv_byAsTSdw3dRQxofbl5OW6X2wOOUWnMRpzqC3AP6ySlycZ7SkdRYNg26fojJsA5yiXsPOVohuVkF21zXXqh5eMkaKah1uV3DdsjNzexV0qVRKC01zLY-nGI7r9U5AwfuBfFvuOEkfQoVQQKqLMBnXXk7IpuQtg4EWPV-hxbIfDWbNM3XptJzQtZW_AUK_8KqqDxZVdk_5nBnptj1UBHGTLpZf_JhGD&xkcb=SoDX6_M3-se3zPXRih0IbzkdCdPP&camk=4HOcmqOLYrCKgOVOGV7sTw==&p=3&fvj=1&vjs=3
TARS - Machinery Maintenance Mechanic,QinetiQ,"Marfa, TX 79843",Not Provided,Full-time,QinetiQ US is seeking a n experienced Machinery Maintenance Mechanic with specific experience in supporting Telem e try and Control operations to support the…,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BstQ1cHHlvfYhSwKW5jdz4zt04CF6fXBYCw07jciM2M5tVknVIitWGkINCdTcrGiE826ZcqmeCiySP3RicK5RxbJ6wJVZnTZnpD9QCG2sJHtzPfF50hAMEaABP5ksIooWVw4Vq8xYQO2QYDge0FS2XzDOjROi3dbux_WgawxBpo2kyUiPZzWDoopIgoEpNhU10cZ6l_Iz6AdhdywQS3mq5efnoRSb8NAXJASu7wz1V0gCFJUZaxejdr2S5MbUT-vu9tbZf8kLBPoFnK5heP_DG8Mc4lv5E-DkpqxnkG6Q5OYHnkqAPjot6Ov5ljNtPWvESQh1HE38aO4A8ANUR61cYKDbtKw4pI92eMKIM_AT32VsnzYp5l4ZkFLE1rWFGKBUuzLpUbOL-zNzEHsKi_zPC4FRMOJ8dgvHfD1g8mxmYyTAqJ7NLO0tBJcWkyeT5rsNOtXn4zQiAm6g3tTaw3iKGut_QXl2oZ6kFhuBkI4369KKsX4NWWeqkpJmnCf6N_jBRU3DGqHZR_STzV5IpM75_g3-cPBExFqkpGalhra-Y24zCuVSSNmP95VrGd1l8eZNwzhAjvwt0v0cdehcd3hw-QyM3234EjqBGPFgEf11jpvJqJYYEEAtl3kGLD10efoJuREA1EBifhwd1Dvg3_d_FmtN5pxULRco=&xkcb=SoBZ6_M3-se3zPXRih0PbzkdCdPP&camk=nUmJqO2E8rjeIqyXENpptw==&p=4&fvj=0&vjs=3
Senior Buyer,Vertiv Group Corp.,"Westerville, OH 43082",Not Provided,Full-time,"This position involves planning and purchasing products to meet demand needs while maintaining optimal inventory levels.
Foster a Customer-First Mindset.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BstQ1cHHlvfYhSwKW5jdz4zt04CF6fXBYCw07jciM2M5tVknVIitWGbFCOd0g9CrcorTJRfrCdp_f0OS8HbRoYOMYpzJAjur_rnGPX_jo1NoG5st3twWCT3FOlin0Z6K1r11oJAlZEPj4Ivmb0amIMgGwmYlZxqodJzOSQFGJUYSErwGDjE_fzAH6To8cGD_9YU2d6kjQ0Qvqy-o0vOewCaR30dBFia7upStCNraPmCWc-kXR3vyeOBe-9trn5z3xWMc6S7ZnvO02npW7tg6gs46cy5JD8IGV5Yt5ynXiPCQbV9Km4D0UczKWYjHXY5CPJUFFvAgOnV_EF7k4ClAIo_ZfiKjHc4Mofu8UdSqgyC4wE3NuP5TME7gySm-kWR4RjYKalHRPYaMZcpDNiIYU3AZ9YHxQfmQMidIv3ju1Sc3H6kJzREo8qwcRRqZTYCdiBpw3I8ogy10NlcpeJQYJpN4mCJwS5QcLBqMFpBJb3Da-cP_KUmZ-fSYXgj5mt6ya_xjAPM0GrBu3hVcBVbIQWICML7vwNIsxIUG9M6jgAhIrRXKoMwU6_imlKkkk4BxgxCBU15FAtoGrxByAVVb9tteN2lJdiEjxcQ8sBawfcDD14lL_Xkn-XgWz-UsrEaHYzIYhv9infd-_nRVtd5gIy&xkcb=SoDt6_M3-se3zPXRih0ObzkdCdPP&camk=nUmJqO2E8rjwVV7zVSRwKg==&p=5&fvj=0&vjs=3
Benefit Services Representative,Associated Industries,"Spokane, WA 99201 (Emerson-Garfield area)",$17.94 - $25.12 an hour,Full-time,This position provides data entry support to the Benefit Services department by accurately processing enrollment and change forms for existing group members.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6AFO-gB4LcG2FdDNTApYxoDIu6b41BAC6CM5-mHeaWvORc1ow7cZb13Fh3VVTOBKd-KNt21DVoJC_HNk0Mte2o2fySc-DgmzrTPOhQ7UZkuD8RtA_a5KIFS4LeM-F3qoSXD50IudtWU9K-8BUi2OpEouYo3d-YmD_8gIgvv8hJOFoLKlKIMB3MWj-wZOeLDhY5airW4Pic8yI_J_iX2LGWVazB7r06Pv7LrtCJMnlYc459oxv_bU1qwDxR4HuSjnDVsqMXLbBYQQB9knJAphlPnTA9vHga7bhaBMMptRHTC4bwGy1u_xx-Gt7_w3OKGfBxcv5oAEA1VGDeXyDyUaDGN3gqOggnfdkgv1nrdAlEzoJxTLodDPEKYIrBPz5jBipAMWnyIJybTKFxkKm6ib7He8rFnKt96-czyHiclpmGMnk2fvooj4CISQifh2YnVfAmqT7zGZkjC0UhxCTsFor8qllHdP5YC1cuzWxXc4Xi0Nkqgi3mvhjhMigRtVB8VD8j12uMVAaM5sGIowOwW7xKTEhXEHbtwTt6wVkHClGlN5mIAtZkQRLMAVVo8ZbDLxe7w-JYAsW7t1rq8pjqd_f8c3T3DkqHZAZ2EFOpx_3hXLW_D-FcO0s3ZP1IuMzq-A=&xkcb=SoBw6_M3-se3zPXRih0NbzkdCdPP&camk=nUmJqO2E8riV7k_U0vWMPg==&p=6&fvj=0&vjs=3
"Advanced Practice Clinician, Primary Care, Eugene, OR",Optum,"Portland, OR 97086",Not Provided,Full-time +1,"Flexible practice models include Traditional, Hybrid & Virtual!
Full-time or Part-time.
Average Daily Patient Census: 16-18 patients.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWpgndjYL01xMr26yTqLCDFb3b3BUdaEwmMV3w6lpNxQlF9nfElD1_UcCEZeahMAyxlGtDAo9E95zULo5CnbGtFfmSwwTiO8w0eLTSUU3eGTTFjyJodIhRXfb1mNyueTfGxdhQ-BQPqSccnAMUD-SwELOF85rmpjgNYYBsgsNrJTIqR42r30soKY9K397FgH9MEiAvncM-I3KfBaavaRkBXUqy26CsT_QkQasY9uy18Klk_V_SIeXjCJW-4nRrL0IY-NU6LnFalPmB1EN71EfKvtPHdSVWyzAdCVOeO2XP7ILoLsTwJ4jZh083qGxRcOqOz8vMyM5JLf94B047RZzjCFLSBBZV9JXOShSUNdtRBPxEH40Iqu3tJ4wWB1qtPbA13cfdNtRNcurJVsP3nj8fejiGX8RBQPro-XT7lO5fnbmvOmkVkOmgUdMGcb7JxJfLbGHCfj5hnE0LVAH8rxr77_JkCBYDtbH8PdWwoK26PfBUZF_zlscJOKNYsQj0BuqxeGYOUNrj4CWMva3reeEQjopByr6hAKOxM-Jrn7WSrZLoZwtVMW8zMlcWelXtJh0O12LPpoCD5IbLpt8XXTNuWvgChIKT0f-5Lbqy6CIHbZ0RKPEs3C79BeAYz6BIGMWUD_uXHWsscMWsWoifZRzW1bhBsH6ah668LVk1h-tjN1vy2rZRmZtFo_e0OrHmWT-WB8LlScPBC4kaEeBLElxU4II0UWzoY2VCO5Z0Sw_mdst8oDoYQOAk8jbdV_lTLeCKwn7jTNVxVi6tI211bLWIu-tzhOhvbaKdLNvz_emDz4p81AuQ3dZ6CH061k1lPNabiX_cJMSpiQ==&xkcb=SoDE6_M3-se3zPXRih0MbzkdCdPP&camk=4HOcmqOLYrBOJqPC6r4zxg==&p=7&fvj=0&vjs=3
Patent Attorney or Agent / Computer / Software / CS Remote USA 94301 3621-i,IP Recruiter Group,"Palo Alto, CA",Not Provided,Full-time,"There is an abundance of challenging work here from major corporate clients, thus you will be exposed to a diverse array of complex software and computer…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-GnfhkYhNSkhmOlIaGMZ2A7LEV2ydYFCWtitvr5FzjSRS2XSZWboiMpVjWsU6ya8GRpJYq21Tx9PfpWjkvtotwYfIxnEpOZuUY8DMM14PredbNP9wquqH15e7-2YI-h4HmlO7f-f8FopS83m9_9_NmFBHhUAbSg8bdI7vTVIijsaNZYyalzHkMaidhOm83eX_SAI7FBsCvUqZMP-3-WA5R9GVxyGLgur0zIIrtG8XoxYYKIsgfum_skfNkXJ9Vjaoc9MLJRCD_RV64RAkjQ9D6gpKAgNeJx1EzkYl3rIZREzPDLsb1TrYryb2JvaIM8FNTpe5gGdUzNA3Bv40DikuDvnVoRzD8EujGnf69znqfUja-_ce28nNlfQiPFMdBmJhPk-3YBR2c5QHGPmDtnsVBWRsUHzE2kWP8cGR2ufaQ7qlYUZOd-AAsRBvY1zYmO8DkdkP6Z-r63Ej0eT9YYOyCcrdprhgvEPOs2zJlqw6-518lyu8OgacCe0XXEZonoxuYbSdv2wJ47f0EobQJYK2dZj-Xa83kVi1VB-150ObvFIOhY58JCltgH8M6OSPu0-9f9nqeM4mPe77QFv4mKhiOFQ1YBCOlRDbzswgtfuuCpjtyKafJol32T-g9_mD0lmzcuQtTKN7z1tdwQLTAkXyDcoGnuvLA6iX8pZgRxbqCJI48G-JTiw-f5eUwkwooFM6WDZNyLgDGLZYGw2Ib-xAWBxdFjWfiYT2OHCfuvy4Qg==&xkcb=SoAt6_M3-se3zPXRih0DbzkdCdPP&camk=4HOcmqOLYrCsjQRXLjDpMQ==&p=8&fvj=1&vjs=3
"Principal Software Engineer / Java 17, Scala, Kotlin / AI Application",Motion Recruitment,"Santa Monica, CA 90402","$200,000 - $230,000 a year",Full-time,"They are looking for someone with 10+ years of experience and someone who has experience developing in Scala, Java, Spring Boot, Rest APIs , Microservices, SQL…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlG8eQ-E_eElbjQUAvh1Po9TMRdgcP7wLVIjfv-ORu9JgO3eKYfgel2s47D-0NuUVIBkfUAb2mDuf8Y0sVqfiUzMUvdMR0ur_VCPoZbXCO2BW-cw85tqN8LEVC5Dn1H1mHealxO_9kvqTMVZvVIgX3cuK_C6bqt1kpJOF1l7tZXGw7_ZcR-uYaCbD3VQ0bUDBWI2yNaYq0oD3Aamfg1hJ47R2qu53FJv-c2N77nI7c1fz5V5U5T_DvmBi0rIiOLBl2jCNxVJG1d0jHlVOlcaYP4Mj_lxcyWwYYf0WHL5Sebvt9GZvqTQZrixoWtyK31L8iXsQzgNhV1Fv0vE_8ePRmiPVivSUBnuVnw3TVuvPwEgTumfLvQDE22nCzqGtGZvIG4n660s9mnJKlbmljMz_vsNa3GltoW7rk_XpbUt9h8dBXngplw0TWOX3ElJEce7DOw6qBBjDCEI3FFiNzfnnTlqzBWLluleN0Eh80Nby5SdRX-LoAD6tWha5v1fnHKevAoCzDwSuztcSag2T5aqswujGT2AsSKf5xTRO8ANQVfZOaE6AfP1J6exiVCtYxfnQ7h68yFP6LMl_LKhdAUa6C6jfH51X0DTZgVY-lCYSysfTVRrgh-qQF5L9DTLRKwm0Rb1923bhJQVdeLJzCW-xRsbuCDThZYLWQp0PDoHg-I9FlZTXd8aNUngjSRQv_xLJmZtSepvQEgsDqYUuUh2V4QPhntl5Bs8TzAeF6CNDmaMbhUAJp9XD_fhqKgP2HGTgl1uKhNE-76Y6hy49krD7Ngred_lSfS2rjhNbpfm6lWq2ApJa5QfkKEokGNN8pz04xE-Xs7ki1aVXoBnySF8loXrGrZH9PxsrGOJhfqslviBwS6gbkFLndB5-k5F9yyoBua5_yWZX7w03LBjh3k26AOcEiYIQYkAptulVS0_DZcrUKcvWN2n814zjyXuz3MrNxKS1UTy0uskLtsQ75VDsp_WrYRggGBzZvBXp3J-jp9YNl-I7L7PSojxoNA3eeNpLK9GjM9RVNqnxqZX233690jOgya7qmo10hgK0CokFbvdi5shvMTd5Ir1ERQnmwip8=&xkcb=SoCZ6_M3-se3zPXRih0CbzkdCdPP&camk=H-lBaXMUocKZ3rvXdkQH-Q==&p=9&fvj=0&vjs=3
