Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Senior AI Weather Scientist,Spire,"Boulder, CO","$150,000 - $200,000 a year",Not Provided,"In addition to its constellation, Spires data infrastructure includes a global ground station network and 24/7 operations that provide real-time global…",https://www.indeed.com/rc/clk?jk=d34f7d686beb3602&bb=4DYSGqs9c_hRy1bUsr9Wn0SIVuhvc3DW4Rt05sVkRgz8iPkcSUQ3fE1XSNJ9MOm3c8YMC292AB_Ev1qpt2KLF4H2sBm_-d5N13GxoWhUPCzBKhH4iC3jh7juSMC_aeyy&xkcb=SoDC67M3-umFiSapFJ0LbzkdCdPP&fccid=d095eb8d761d57e9&vjs=3
Senior Associate Textile Designer,REVOLVE,"Los Angeles, CA 90021","$70,000 - $80,000 a year",Full-time,This is a full-time role for a candidate who will support the Director of Textile & Art and utilize his or her creativity to manipulate and design prints for…,https://www.indeed.com/rc/clk?jk=14be841f5d8b6ad6&bb=4DYSGqs9c_hRy1bUsr9Wn2SRar14DGhjfancXpQ52aS6ijYYGMLsvVQntOF3ig2o02ZpYotFCbBFCHTplA2WUXszTYTRB7dY4FGAY6b3vQhvqiWU5Cm1lLjPXWqxQs5n&xkcb=SoB267M3-umFiSapFJ0KbzkdCdPP&fccid=7ff17b3690e6290e&vjs=3
Program Manager,Oracle,"Seattle, WA",Not Provided,Full-time,Manage the development and implementation process of a specific company product involving departmental or cross-functional teams focused on the delivery of new…,https://www.indeed.com/rc/clk?jk=a3d9471ec529344d&bb=4DYSGqs9c_hRy1bUsr9Wn1putjXDpBDpJYqMcU6TfWYfQoachTHtyI4sL_DYgNCvHa1QL5_rJ0bb8Av1k5nBoNJpRcN4BZPWJap13p_UYIwblLCu_Xk63g%3D%3D&xkcb=SoDr67M3-umFiSapFJ0JbzkdCdPP&fccid=cd22d01053af7669&vjs=3
Open Source Strategist,Samsung Research America,"Mountain View, CA 94043","$200,000 - $300,050 a year",Not Provided,The open source strategist will spend her/his time to search for new opportunities of open source and open standard that are aligned with Samsungs strategy and…,https://www.indeed.com/rc/clk?jk=a71ba26a239382d6&bb=4DYSGqs9c_hRy1bUsr9Wn_9q2bM40t7TJduhKSJgubJ825Cpkjvy7VYXjH1tgM3drvc2UBLgr4UU3HmTkJxngA_S0WhuS-dCwYVr8E_2mn4IQWz2hTRpHK9s6aMFZ8YZ&xkcb=SoBf67M3-umFiSapFJ0IbzkdCdPP&fccid=f98eb70205204fcf&vjs=3
Software Developer,Oracle,"Seattle, WA",Not Provided,Not Provided,"Our team is responsible for designing and developing fundamental architectural changes for GPU delivery, health monitoring, triage automation, and diagnostic…",https://www.indeed.com/rc/clk?jk=325ade8b54d5a47f&bb=4DYSGqs9c_hRy1bUsr9Wn84PqNCJe-XKU-iHt078pt6H0i0b_DKW_ywSq_TgfffyqqIqIJnNUCE1P9iNRcJi2NZkqwPTc3vdpSkqKvzwId91QC7Ln6MPdQ%3D%3D&xkcb=SoDR67M3-umFiSapFJ0PbzkdCdPP&fccid=cd22d01053af7669&vjs=3
Evaluation & Response Senior Specialist,Apple,"Austin, TX",Not Provided,Not Provided,"You are creative and have a passion for detail with proven expertise in English language analysis.
As an Evaluation and Response Senior Specialist, you’ll…",https://www.indeed.com/rc/clk?jk=c72383b59c1ab64a&bb=4DYSGqs9c_hRy1bUsr9Wn6ZZTuXV-NjTLAiQFcm5k1iiVpR38YuU65Dgv76GxW1mG5uoskA8m4MkSbCx66z09UjlOxhPyioBNwsiH1Ykd5C-pzdfb08WaQ%3D%3D&xkcb=SoBl67M3-umFiSapFJ0ObzkdCdPP&fccid=c1099851e9794854&vjs=3
Postdoctoral Appointee – Scalable Simulation and AI/ML Workflows,Argonne National Laboratory,"Lemont, IL 60439",Not Provided,Full-time,The Argonne Leadership Computing Facility (ALCF) is seeking a Postdoctoral Appointee to perform research and development of scalable workflow tools for coupling…,https://www.indeed.com/rc/clk?jk=cef749d48ab25c24&bb=4DYSGqs9c_hRy1bUsr9Wn5lJJrBP0pOsBm94De90SalZaYmrdS-UdYskkfkAHFwPcn7O_jMXBZZRN9Swa_9efbOXwM-dbwNfOY1DecTtyPF1Djc5u3c1tQ%3D%3D&xkcb=SoD467M3-umFiSapFJ0NbzkdCdPP&fccid=5d1506a5df73a48e&vjs=3
Game Rant | Sports Video Game Features Article Writer,GameRant,Remote,Not Provided,Not Provided,"Game Rant is looking for a candidate with extensive familiarity and knowledge about all things Sports Games.
The ideal candidate should both play and follow the…",https://www.indeed.com/rc/clk?jk=fff72a3803f79860&bb=4DYSGqs9c_hRy1bUsr9Wn59ticF8RzrE5-FaFXXrJH_mUiQmUXUuxdyYmwfiK_-jw-GaIMQ7p-rzf9b8a4aazK40uhn4SZOLniGwZH3lzNs-k9LIr3f-TdIlRdl8GRev&xkcb=SoBM67M3-umFiSapFJ0MbzkdCdPP&fccid=e3c41c4f7666c1c5&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=4DYSGqs9c_hRy1bUsr9Wn-ByI6xgfYDxW0v8ezcIOL-S2zrnuhvRAQZHqNC1cC3SgXd0WoWB8OZS7tVOtf3BVV8VbJuXDtljt5hSpmG9y0HjnPJ39H-EPVBWPMmddJsF&xkcb=SoCl67M3-umFiSapFJ0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=4DYSGqs9c_hRy1bUsr9Wn5qgpYbnltUbxQXmgygD-M_hoXaNHU1NNn23xk7b9Oaii4VnvMtnXkhaE7v_imlRL1DVYstKRfn8LNwR0fIe43HjgwTmq1oF8w%3D%3D&xkcb=SoAR67M3-umFiSapFJ0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
Competitive Intelligence Lead,"Grammarly, Inc.",Hybrid work in United States,Not Provided,Not Provided,"Has experience working at a senior level in competitive intelligence within the tech industry.
Develop and maintain detailed assets to provide our sales team…",https://www.indeed.com/rc/clk?jk=416f3bf573d88116&bb=4DYSGqs9c_hRy1bUsr9WnxgutlngyBSL2V2qhTs44zHRo6MmxCHMc7o--O95z-7tWCfD_5-Jr-8twwVdnOAksg-8GF09tDeKNilZECFM9zRaWRH3BXfziDBaxJfACPrL&xkcb=SoCM67M3-umFiSapFJ0BbzkdCdPP&fccid=0555014e7bce64c3&vjs=3
"Senior Writer and Editor, AI at Work",Microsoft,United States,"$103,800 - $219,200 a year",Full-time,"The writer and editor will also contribute regularly to WorkLab digital publication, newsletter, and podcast; Microsoft’s thought leadership publication on the…",https://www.indeed.com/rc/clk?jk=a753f4b4e94242de&bb=4DYSGqs9c_hRy1bUsr9Wn1HVcuQcvw83ebYzsD-rRxL_MaC-bocMGztbtdzq7hdg_KO0I0oUXujcuu1LiZIa3J0rMVXWWSTQmNhK8PfsbuHNcNlrkqeTEQ%3D%3D&xkcb=SoA467M3-umFiSapFJ0AbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
AI Data Annotator,Vistatec,United States,Not Provided,Not Provided,"Data Annotators carry out their work in an engineering development environment.
Annotate English data accurately and consistently, and in accordance with…",https://www.indeed.com/rc/clk?jk=644269f566114edb&bb=4DYSGqs9c_hRy1bUsr9Wn6SVsJyUG3uzKWJ1YId3KNA8zoVvin2OrHMPOmtsdYY10CgMl3mrID8PJANuFmveuhN5frxbz391KDnuJ70lfFSgNa6M_pLGkA%3D%3D&xkcb=SoC267M3-umFiSapFJ0HbzkdCdPP&fccid=33fede40a40fcf6f&vjs=3
Intelligence Watchlist Analyst,Deloitte,United States,Not Provided,Extended hours,"2+ year(s) of open-source / all-source intelligence experience.
Providing intelligence analysis and operational support, you will be responsible for receiving,…",https://www.indeed.com/rc/clk?jk=0189c2b31a0791e6&bb=4DYSGqs9c_hRy1bUsr9Wn-pGkQwhJgo7_OTRe9_V3XnK1qL7-OzwGocP2Ms4MF-hwT-6yf76TzKciCQ-xbFF_eFMx14xTc-mtiDOemLrNzxhBSViiiiJPw%3D%3D&xkcb=SoAC67M3-umFiSapFJ0GbzkdCdPP&fccid=9e215d88a6b33622&vjs=3
Sustainability Go-to-Market Activation Lead,Microsoft,United States,"$129,200 - $268,900 a year",Full-time,"Sitting in the Cross Solutions Sales Activation team, you will be a dotted-line business partner to the Sustainability GTM team and partner closely with…",https://www.indeed.com/rc/clk?jk=da0e0b51bf349b2b&bb=4DYSGqs9c_hRy1bUsr9Wn9GbMqlkSw0t67EM61L_HbzOT-XB53qLkDJTnJ-wPiT6cmV0i_VKkp8WTy_oEZU13QJYcmgxJLUAoS9bfX5kzLaLezaiF1KmHQ%3D%3D&xkcb=SoCf67M3-umFiSapFJ0FbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
